Region/Kategori,Land/Område,Bildkoppling
Asien,Azerbajdzjan,"En höna som tjuter när den får syn på soldaten som kallas Bad Jan: AAH, SER BAD JAN! "
Asien,Georgien,Läppar som pussar på någon som heter GEORGE
Asien,Ryssland,"Ryska flaggan, världens till ytan största land "
Asien,Kazakstan,Mästertjuv som försöker bryta sig in i ett KASSAvalv
Asien,Kirgizistan,Städare som sopar spåren av KRIG I STAN under mattan
Asien,Uzbekistan,Grävmaskin som gräver en BÄCK I STAN
Asien,Tadzjikistan,TED GÄRDESTAD som flyger iväg i ett flygplan som skjuter ut ett moln av rök
Asien,Turkmenistan,En turkisk sultan som tar med sina män in i stan (TURKMÄN I STAN)
Asien,Afghanistan,Person från Afghanistan
Asien,Pakistan,Resväska som är överPACKAD
Asien,Indien,Glasstrut med smak av CURRY
Asien,Sri Lanka,En tår som fälls för att struten tycker synd om rymdhunden Laika (SORRY LAIKA)
Asien,Maldiverna,En dykare (DIVER på engelska) som dyker efter fiskarten MAL
Asien,Nepal,En check som inte tas emot eftersom de bara tar PayPal (NEJ – PAL)
Asien,Bhutan,BYTTAN som hönan gör sina behov i
Asien,Bangladesh,"En trasig toalettstol, när den gick sönder lät det BANG men du bara LADE undan locket och sa ÄSCH "
Asien,Kina,Höna med Kinas flagga på kammen
Asien,Mongoliet,Kille som kräks efter att ha ätit dålig MANGO
Asien,Myanmar,MYRslok
Asien,Thailand,Thailändsk blomma med fjäril
Asien,Laos,Ett vindkraftverk som blåser iväg allt och orsakar KAOS
Asien,Kambodja,Rund figur som KAMMAR sin BODY
Asien,Vietnam,En person som äter vindkraftverket (VI ÄTER – NAM-NAM)
Asien,Malaysia,En MAL med stora ögon (EYES på engelska)
Asien,Singapore,En mikrofon som malen sjunger SING-A-long i
Asien,Brunei,Ett BRUNT plåster på ena vingen
Asien,Indonesien,Öar som du smetar ut med din KIND OCH NÄSA
Asien,Östtimor,TIMON från Lejonkungen som sitter och tittar åt ÖST
Asien,Filippinerna,En kock som heter FILIP
Asien,Taiwan,En mask som utövar TAI chi och VANN över Kina
Asien,Japan,En vattenslang som ropar JA när den träffar dig i PANnan
Asien,Nordkorea,En KO på REA NORR om Sydkorea
Asien,Sydkorea,En KO på REA SYD om Nordkorea
Oceanien,Australien,Pionjär som undersöker den Australiensiska vildmarken
Oceanien,Nya Zeeland,Pionjärens vandringsstav som hon använder för att SE NYA LAND
Oceanien,Papua Nya Guinea,En PAPP-dinosaurie som ska bli ditt NYA marsvin (GUINEA pig)
Oceanien,Mikronesien,En dinosaurie som drivs av en MIKROvågsugn
Oceanien,Palau,En PALL som dinosaurien välter
Oceanien,Marshallöarna,En MARSHALL som driver mikrovågsugnen
Oceanien,Salomonöarna,Kung SALOMO
Oceanien,Nauru,Hammaren som Salomo höjer när han säger NU DU!
Oceanien,Vanuatu,Prinsen som blir förvånad över Salomos hammare och frågar VAD NU? och sedan nyser: ATTU!
Oceanien,Fiji,En pudel som heter FIFI
Oceanien,Tuvalu,En svalkande TUVA
Oceanien,Tonga,En TÅNG
Oceanien,Samoa,En tjej som heter MOA och hålls fast med tången
Oceanien,Kiribati,En hungrig fladdermus (BAT på engelska) med KURR I magen
Sverige,Lappland,LAPP-täcke
Sverige,Norrbotten,Tomte i NORR som tar upp något från BOTTEN av säcken
Sverige,Västerbotten,En munk som äter en hel VÄSTERBOTTENSOST
Sverige,Jämtland,En gammal man som suttit där JÄMT
Sverige,Ångermanland,En kvinna som ligger på ett brustet hjärta. Hon är förlovad med Jämtland och ÅNGRAR sitt val av MAN
Sverige,Härjedalen,En björnbuse som ska ut och H HÄRJA
Sverige,Medelpad,En iPAD som björnbusen tvättar med diskMEDEL
Sverige,Hälsingland,En gumma som HÄLSAR på folk
Sverige,Gästrikland,En fåtölj full med GÄSTER
Sverige,Uppland,En sköldpadda som hamnat UPP-och-ner
Sverige,Södermanland,En fågel som flyger SÖDERut för att hitta en MAN
Sverige,Västmanland,En fladdermus som klär sig i VÄST för att visa att han är en MAN
Sverige,Närke,Ett skogsdjur som blir petat i NACKEN av Vättern
Sverige,Värmland,Någon som spelar på ett piano med eldeffekter så att det blir VARMT
Sverige,Dalarna,En astronaut (från Dalarna) som flyger till månen för att utforska mån-DALARNA
Sverige,Västergötland,En stickande dam som heter GÖTA och sitter till VÄSTER om…
Sverige,Östergötland,…Götas make GÖTE som sitter till ÖSTER och kör dem i bilen
Sverige,Bohuslän,En kanon som skjuter mot ett HUS där någon tänkt BO
Sverige,Dalsland,En berg-och-DAL-bana
Sverige,Halland,"En vattenrutschkana, vilket gör det till ett HALT LAND "
Sverige,Skåne,En SKÅL
Sverige,Blekinge,"En blek man som heter Inge, kallas förstås BLEK-INGE "
Sverige,Småland,En rundare kusin till Janne Långben med många SMÅ LAND på sin nos
Sverige,Öland,En ÖDLA som simmar utanför östkusten
Sverige,Gotland,En glasstrut = ett GOTT LAND
Nordamerika,Kanada,Person som håller i ett LÖNNLÖV
Nordamerika,USA,USA:s flagga
Nordamerika,Mexiko,En TORTILLA-wrap
Nordamerika,Guatemala,Person som maler te (GUd vA’ mycket TE han kan MALA)
Nordamerika,Belize,Bart Simpson som säger till Guatemala att BE hans syster LISA om hjälp
Nordamerika,Honduras,En tant som ligger och lurar i en skottkärra (HON LURAS)
Nordamerika,El Salvador,En tub med SALVA under däcket på Honduras-skottkärran (HÄLL SALVA DÄR)
Nordamerika,Nicaragua,Person med stor trekantig frisyr som NICKAR
Nordamerika,Costa Rica,En agent som tänker hämnas för att de rika roffat åt sig alla pengar (det kommer KOSTA de RIKA)
Nordamerika,Panama,Ett PANNBAND
Nordamerika,Kuba,En KUBANSK CIGARR
Nordamerika,Jamaica,En liten katt som JAMAR
Nordamerika,Haiti,En kille som HAR koll på IT
Nordamerika,Dominikanska Republiken,En elefant som DOMINERAR PUBLIKEN under en fotbollsmatch
Västindien,Bahamas,BANANER i röken från Kuba-cigarren
Västindien,St Lucia,LUCIA
Västindien,Saint Vincent & Grenadinerna,En VINCENT Van Gogh-tavla med polkagrisrandiga GRÄNNA-GARDINER
Västindien,Grenada,En polkagris från GRÄNNA
Västindien,Barbados,Ett stop med öl som Lucia har beställt från en BAR
Västindien,Dominica,DOMARE som går bakom Lucia i tåget
Västindien,St Kitts & Nevis,En kattunge (KITTEN på engelska) med NÄV-IS längst bak i tåget
Västindien,Antigua & Barbuda,En man med BAR överkropp som BUDAR på en ANTIKVITET
Västindien,Trinidad & Tobago,En pappa med tryne (TRYNE-DAD) som röker TOBAK
USA Stater,Kalifornien,Strand med KALLE Anka
USA Stater,Nevada,"Någon som vadar. “Ska du bada?” “NÄ, VADA!” "
USA Stater,Oregon,En val som fått smak på OREGANO
USA Stater,Idaho,IDA som diskar i sin disk-HO
USA Stater,Washington,Någon som tvättar ett ton tvätt. (WASH A TON.)
USA Stater,Montana,Annas ansikte uthugget ur ett berg = MOUNT ANNA
USA Stater,Utah,Kruka UTAN ett hörn
USA Stater,Colorado,"Kruka med rader av färg, COLOR-RADER "
USA Stater,Wyoming,"WHY? Frågar du dig när du går in i krukaffären, men sedan får du syn på en Ming-vas och säger “OH! MING!” "
USA Stater,Texas,"En mustaschprydd man som samlar in skatter, TAXES "
USA Stater,New Mexico,"Skatteindrivaren ska bilda en ny stat, NEW MEXICO, med skattepengarna och håller därför i en ny version av Mexikos flagga "
USA Stater,Arizona,Noshörningen ÄR delvis I ZON A
USA Stater,North Dakota,"Norra delen av ankans hätta, NORRA DUCK-HÄTTAN "
USA Stater,South Dakota,"Södra delen av ankans hätta, SÖDRA DUCK-HÄTTAN "
USA Stater,Nebraska,Ankans ansikte med NÄBB som ber dig att RASKA på
USA Stater,Kansas,Svensk flygbiljett. Ankan flyger skandinaviskt för att han KAN SAS
USA Stater,Oklahoma,"Ankans ben och ankfötter med sandaler gjorde av ek och lama-hud, av märket OAK LLAMA "
USA Stater,Minnesota,Kockmössan som fylls av MINNES-SOT när han tänker
USA Stater,Iowa,"Kockens huvud, p g a köksljudet använder han Jupiters måne IO som öronpropp. Han hör inget och svarar bara “VA?” om man frågar något +1"
USA Stater,Missouri,"Kockens skjorta, söndersliten av all MISÄR han gått igenom "
USA Stater,Arkansas,Shorts med några djur från ARKEN ZOO i fickan
USA Stater,Louisiana,Kockens fot där en lus med en liten LUS-HJÄRNA hoppar mellan tårna
USA Stater,Tennessee,"En frityrbur, som lite liknar ett TENNIS-nät "
USA Stater,Kentucky,Kyckling från KENTUCKY Fried Chicken (KFC)
USA Stater,Indiana,En kryddpåse som kryddar kycklingen med lite INDISK curry
USA Stater,Illinois,En kökspojke som inte har öronproppar och därför blir sjuk (ILL) av allt oväsen (NOISE) i köket
USA Stater,Wisconsin,En brödrost som VI trycker SCONES IN i
USA Stater,Michigan,Ett par vantar som ägs av MICKAN från “Solsidan”
USA Stater,Ohio,En hand som hälsar och säger “OH HI!”
USA Stater,Mississippi,Fröken (MISS) PIPPI Långstrump som Simpsons-figur
USA Stater,Alabama,Tidigare vicepresidenten AL Gore som pratar med OBAMA
USA Stater,Georgia,En brittisk kung GEORGE på en tron
USA Stater,Florida,En krokodil som gömmer sig på golvet (on the FLOOR)
USA Stater,North Carolina,CAROLAS segelflygarvinge
USA Stater,South Carolina,CAROLA som segelflyger
USA Stater,Virginia,"Jungfru Maria, eller som hon heter på engelska: VIRGIN Mary "
USA Stater,Maryland,Jungru Marias (MARYs) slöja
USA Stater,West Virginia,Pikachu med en VÄST kramad av VIRGINIA
USA Stater,Delaware,"En DEL AV ER slöja, Jungfru Maria "
USA Stater,Pennsylvania,Ett PENNskrin
USA Stater,New Jersey,JERRY från Tom & Jerry med en NY tröja (JERSEY)
USA Stater,New York,En kille som betraktar en modell av staden NEW YORK
USA Stater,Rhode Island,En väg (ROAD) som huggs av och blir en ö (ISLAND)
USA Stater,Connecticut,"En hackare som gör ett hack i vår connection, ett CONNECTION CUT "
USA Stater,Massaschusetts,Ett kassettband som det kommer en MASSA KASSETT ur
USA Stater,Vermont,Ett V uthugget ur ett berg (MOUNTain)
USA Stater,New Hampshire,En NY-KÄR gris (HAM)
USA Stater,Maine,"En man som gör en lustig MIN, alternativt är the MAIN gatekeeper när man kommer till USA "
USA Stater,Hawaii,En HAJ i Stilla havet
USA Stater,Alaska,Maffiabossen AL Capone som fimpar ASKA i en askkopp
